hindi,hinglish
वह बूढ़ा नाना था।,Woh budha nana tha.
वह मज़बूत बच्चा होगा।,Woh mazboot bachcha hoga.
यह ज़बरदस्त चाची और वह ज़बरदस्त दादा है।,Yeh zabardast chachi aur woh zabardast dada hai
वह बुरा नानी होगा।,Woh bura nani hoga.
वह चिंतित सास होगा।,Woh chintit saas hoga.
यह पुराना चाची है।,Yeh purana chachi hai
वह सरल पापा होगा।,Woh saral papa hoga.
यह स्क्रीन गार्ड बेकार है।,Yeh screen guard bekar hai
यह ज़बरदस्त सास और वह ज़बरदस्त चाची है।,Yeh zabardast saas aur woh zabardast chachi hai
मेरे पास बहुत सारे दरवाजा है।,Mere paas bahut sare darwaza hai.
यह धांसू नानी और वह धांसू चाची है।,Yeh dhansu nani aur woh dhansu chachi hai
नए दाल,naye daal
यह बच्चा ताऊ है।,Yeh bachcha tau hai
यह इंस्टाग्राम बुरा है।,Yeh Instagram bura hai
मेज़ खा लो,mez kha lo
मुझे एक लॉगआउट है,Mujhe ek logout hai
वह अच्छा यार होगा।,Woh accha yaar hoga.
मुझे एक खराब फॉलो चाहिए।,mujhe ek kharab follow chahiye.
यह बूढ़ा यार है।,Yeh budha yaar hai
यह कमाल का नानी और वह कमाल का चाची है।,Yeh kamaal ka nani aur woh kamaal ka chachi hai
यह अच्छा पत्नी और वह अच्छा नानी है।,Yeh accha patni aur woh accha nani hai
हमें दोस्त लेकर आया।,hume dost lekar aaya.
यह साधारण सास है।,Yeh sadharan saas hai
वह नीला चाचा होगा।,Woh neela chacha hoga.
वह पतला लड़का था।,Woh patla ladka tha.
मेरा आदमी कहाँ है?,mera aadmi kahan hai?
यह उथला बेटी है।,Yeh uthla beti hai
यह कीमती बूढ़ा है।,Yeh qimati budha hai
मुझे एक ब्लूटूथ पसंद है,Mujhe ek bluetooth pasand hai
वह पीला ताई होगा।,Woh peela tai hoga.
यह केसरिया लड़की है।,Yeh kesariya ladki hai.
यह कमज़ोर बेटी है।,Yeh kamzor beti hai
वह बासी बहन होगा।,Woh basi behen hoga.
मुझे एक बड़ा लैपटॉप चाहिए।,mujhe ek bada laptop chahiye.
यह डिलीवरी पतला है।,Yeh delivery patla hai
वह महंगा बच्चा होगा।,Woh mahanga bachcha hoga.
मुझे एक ब्लूटूथ मिला,Mujhe ek bluetooth mila
यह बढ़िया है,yah badhiya hai
वह मज़ाकिया बेटा था।,Woh mazakiya beta tha.
ये जगूँगी,ye jagungi
यह बहादुर पापा है।,Yeh bahadur papa hai
इन्हें वक़्त चाहिए,inhein waqt chahiye
यह चपटा सास है।,Yeh chapta saas hai
इसकी दोस्त लेकर आया।,iski dost lekar aaya.
फर्श देो,farsh deo
मुझे एक चौड़ा स्टिकर चाहिए।,mujhe ek chaura sticker chahiye.
यह कठिन आदमी है।,Yeh kathin aadmi hai
यह शानदार पापा और वह शानदार ताई है।,Yeh shaandaar papa aur woh shaandaar tai hai
यह बढ़िया पत्नी और वह बढ़िया बेटा है।,Yeh badhiya patni aur woh badhiya beta hai
मुझे एक हार्डवेयर मिला,Mujhe ek hardware mila
यह कंप्यूटर बेहतर है।,Yeh computer behtar hai
यह आलसी ताऊ है।,Yeh aalsi tau hai
वह देती है,vah deti hai
यह ऑफिस खरीदा।,Yeh office kharida.
मैं सस्ता है,main sasta hai
यह अच्छा पापा और वह अच्छा परिवार है।,Yeh accha papa aur woh accha parivar hai
वह सीधा पापा था।,Woh sidha papa tha.
मुझे एक शानदार वॉइस कॉल चाहिए।,mujhe ek shaandaar voice call chahiye.
यह सिक्योरिटी फालतू है।,Yeh security faltu hai
यह खट्टा काम है।,Yeh khatta kaam hai.
पल आएँगे,pal aaenge
यह ज़िद बिक्री हुई।,Yeh zid bikri hui.
यह कमाल का चाचा और वह कमाल का नानी है।,Yeh kamaal ka chacha aur woh kamaal ka nani hai
यह शानदार भाई है।,Yeh shaandaar bhai hai
यह वॉइस कॉल कमाल का है।,Yeh voice call kamaal ka hai
यह धांसू घरवाले और वह धांसू बहन है।,Yeh dhansu gharwale aur woh dhansu behen hai
वह बर्फ़ीला पत्नी होगा।,Woh barfila patni hoga.
यह ओटीपी पतला है।,Yeh OTP patla hai
यह अभी का माँ है।,Yeh abhi ka maa hai
वह मोटा बच्चा था।,Woh mota bachcha tha.
वह मज़ाकिया पापा होगा।,Woh mazakiya papa hoga.
वह मेहनती माँ था।,Woh mehnati maa tha.
वह मूर्ख परिवार होगा।,Woh murkh parivar hoga.
शानदार देश,shaandaar desh
यह ईमानदार दादा है।,Yeh imandar dada hai
वह सरल दुश्मन होगा।,Woh saral dushman hoga.
वह बर्फ़ीला चाची था।,Woh barfila chachi tha.
यह खराब घरवाले और वह खराब बहन है।,Yeh kharab gharwale aur woh kharab behen hai
यह शानदार ताई और वह शानदार पापा है।,Yeh shaandaar tai aur woh shaandaar papa hai
यह कार्ट बेकार है।,Yeh cart bekar hai
मुझे नहीं पता।,Mujhe nahi pata.
माँ दे लीजिए,maa de lijiye
मोहल्ला ले लीजिए,mohalla le lijiye
वे लिखूँगी,ve likhungi
वह जटिल बेटा होगा।,Woh jatil beta hoga.
यह भांजा खरीदा।,Yeh bhanja kharida.
यह शानदार चाचा और वह शानदार ससुर है।,Yeh shaandaar chacha aur woh shaandaar sasur hai
यह खराब दादी और वह खराब पापा है।,Yeh kharab dadi aur woh kharab papa hai
यह ठंडा बेटा है।,Yeh thanda beta hai
मेरे पास एक टीवी है।,Mere paas ek TV hai.
वह केबल मिला,Woh cable mila
वह गुलाबी ताई होगा।,Woh gulabi tai hoga.
यह यूज़रनेम लंबा है।,Yeh username lamba hai
वह सस्ता लड़का होगा।,Woh sasta ladka hoga.
यह वेबसाइट अच्छा है।,Yeh website accha hai
मौसी जा रहा है,mausi jaa raha hai
यह बुरा सास और वह बुरा भाई है।,Yeh bura saas aur woh bura bhai hai
मुझे एक विंडो पसंद है,Mujhe ek window pasand hai
यह पावर बैंक साधारण है।,Yeh power bank sadharan hai
यह सबसे अच्छा भाई और वह सबसे अच्छा नानी है।,Yeh sabse accha bhai aur woh sabse accha nani hai
